T_A[K] T_B[K] Setpoint[K] SR860x[V] SR860y[V] SR860f[Hz] SR860sin[V] SR860theta[deg] SR860phase[deg] SR860mag[V] HTR CNT DateTime
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 66 2025-05-07_15:39:35.433973
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 67 2025-05-07_15:39:40.519109
298.730000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 68 2025-05-07_15:39:45.602546
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 69 2025-05-07_15:39:50.676943
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 70 2025-05-07_15:39:55.762392
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 71 2025-05-07_15:40:00.833785
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 72 2025-05-07_15:40:05.910097
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 73 2025-05-07_15:40:10.986908
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 74 2025-05-07_15:40:16.073991
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 75 2025-05-07_15:40:21.164194
298.730000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 76 2025-05-07_15:40:26.235096
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 77 2025-05-07_15:40:31.327690
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 78 2025-05-07_15:40:36.409227
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 79 2025-05-07_15:40:41.504555
298.720000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 80 2025-05-07_15:40:46.580721
298.720000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 81 2025-05-07_15:40:51.674852
298.730000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 82 2025-05-07_15:40:56.763869
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 83 2025-05-07_15:41:01.835755
298.720000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 84 2025-05-07_15:41:06.915799
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 85 2025-05-07_15:41:11.988185
298.720000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 86 2025-05-07_15:41:17.073531
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 87 2025-05-07_15:41:22.158965
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 88 2025-05-07_15:41:27.243756
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 89 2025-05-07_15:41:32.320034
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 90 2025-05-07_15:41:37.411736
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 91 2025-05-07_15:41:42.504802
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.32 90.00 0.000066 +000.0 92 2025-05-07_15:41:47.586604
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 93 2025-05-07_15:41:52.672889
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 94 2025-05-07_15:41:57.766632
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 95 2025-05-07_15:42:02.857573
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 96 2025-05-07_15:42:07.939217
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 97 2025-05-07_15:42:13.011970
298.710000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 98 2025-05-07_15:42:18.088487
298.700000 298.800000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 99 2025-05-07_15:42:23.173989
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 100 2025-05-07_15:42:28.260318
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 101 2025-05-07_15:42:33.331821
298.700000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 102 2025-05-07_15:42:38.407719
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 103 2025-05-07_15:42:43.489079
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 104 2025-05-07_15:42:48.572841
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 105 2025-05-07_15:42:53.641056
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 106 2025-05-07_15:42:58.715256
298.700000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 107 2025-05-07_15:43:03.807515
298.700000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 108 2025-05-07_15:43:08.885939
298.700000 298.780000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 109 2025-05-07_15:43:13.977639
298.710000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 110 2025-05-07_15:43:19.054114
298.700000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.32 90.00 0.000066 +000.0 111 2025-05-07_15:43:24.139244
298.700000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 112 2025-05-07_15:43:29.212229
298.700000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 113 2025-05-07_15:43:34.307418
298.700000 298.780000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 114 2025-05-07_15:43:39.385246
298.700000 298.790000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 115 2025-05-07_15:43:44.475953
298.700000 298.780000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 116 2025-05-07_15:43:49.560933
